,NTSX,Platinum,F-TAA Weekly,SPY
2022-04-08,131606.8590492953,125997.42266337994,116329.819751519,150787.65736125837
2022-04-11,130106.88896769834,123767.44109344964,115560.3490439169,148210.36969678086
2022-04-12,130160.37723457634,123706.63101184585,115996.48916831224,147661.2232855619
2022-04-13,131544.1033746499,124857.19803261137,117492.91345197987,149352.43728918003
2022-04-14,130345.4699889229,123696.46252763888,116971.89165075858,147492.7404275387
2022-04-18,130819.09290320886,123852.59926405376,117317.16110409024,147553.40194970826
2022-04-19,131826.43093883948,124875.04479681712,117245.23960562496,149935.3187384096
2022-04-20,132241.74945307698,124407.49421797921,117300.11094678043,149824.11235883308
2022-04-21,130887.86874431733,123471.1831679253,116564.87245665817,147583.71347759006
2022-04-22,128268.2936440177,121969.34978705338,115193.13230871213,143534.1625921126
2022-04-25,128505.15982994673,122353.1665402527,113861.48755114689,144366.3063518422
2022-04-26,126429.9902071959,120213.49437869666,113655.1612912612,140185.31575726313
2022-04-27,126641.0973778344,120317.98910242516,114255.01977419936,140579.51948535026
2022-04-28,128807.48164396516,122054.73853975195,115455.69443155243,144130.46881701567
2022-04-29,125479.86199589317,119670.08526481467,114157.7603460743,138804.0255863146
2022-05-02,125360.99107264042,120220.81048526723,114518.7836108922,139639.51592336106
2022-05-03,126135.76825350958,120121.73872972473,114634.4378098117,140279.67385103728
2022-05-04,128909.20421426246,120446.20843415406,115855.5695850684,144551.5990292618
2022-05-05,125711.36476079143,120082.64683150123,115089.703775957,139413.79505329713
2022-05-06,124815.45453351371,120044.43140814325,115465.59130035483,138581.68975997347
2022-05-09,122150.78291352706,119721.43676240821,112923.32943352601,134144.66676744865
2022-05-10,122299.5722398084,119744.89679117812,112185.82484955854,134454.62906652418
2022-05-11,122072.63020707913,119590.5358654453,112848.48663118554,132318.628011006
2022-05-12,122064.53034674701,119497.45534124359,112386.71729141528,132180.49514727056
2022-05-13,123283.15798230289,119690.31991293108,113854.67483478769,135340.66426097765
2022-05-16,123013.74641161594,119676.57774818953,114542.21420583157,134791.51784975867
2022-05-17,124316.51043422546,119791.74316026016,114925.1589434698,137564.21485641834
2022-05-18,122067.01138504692,119483.95136608259,113639.01974206044,132018.82084309898
2022-05-19,121101.1577692255,119562.61428155433,113829.28299006104,131210.25699021146
2022-05-20,121396.80267134852,119547.36832952741,113996.51591135918,131267.53346865816
2022-05-23,122172.45551279413,119681.96216806337,114733.194679555,133723.53655520256
2022-05-24,121679.38563653958,119630.58148363617,114646.992257636,132702.6766079246
2022-05-25,122854.74104527602,119681.73935236344,115084.32303296772,133875.13266101747
2022-05-26,124763.2797575004,119856.05665497386,115501.50011909383,136550.16346299206
2022-05-27,127057.36452436307,120055.77753779235,116144.12124191756,139902.31840875247
2022-05-31,125682.90579205687,119948.01008451781,115821.7237214677,139117.334462707
2022-06-01,125545.50005326934,119929.68654393875,116341.75896313053,137992.0766897042
2022-06-02,126894.27274199974,120183.05913180317,117099.78144323187,140619.94767799464
2022-06-03,125673.12758228654,119969.83142341604,117238.20179711706,138312.15565354232
2022-06-06,125897.47911914381,119945.52494367576,117642.30371861091,138733.24739938244
2022-06-07,127113.58923054245,120040.89937561966,118236.29893011654,140064.06964573593
2022-06-08,126099.64725473111,119980.92721550306,118169.22049637108,138541.2615673291
2022-06-09,124724.23989013377,119782.31655514709,117343.20488999502,135246.3446336094
2022-06-10,122573.32562752026,119596.76267402987,116381.07113818932,131324.7714806989
2022-06-13,118952.79751662661,119054.3066480587,114890.13932753196,126338.64054336106
2022-06-14,118458.30469193532,118969.27852872622,114497.5487021745,125957.90005735338
2022-06-15,119254.0977266392,119254.66541691145,114340.4446148947,127753.62728591423
2022-06-16,116590.37473894369,119072.49123196148,113097.08944910284,123525.47687765105
2022-06-17,116758.06373933335,119096.55943346047,112083.76238892808,123791.77980598313
